 Seq       Date      Y1     Y2      X  Put_Premium
   1 2023-12-27    0.00   0.00 261.44        45.63
   2 2023-12-28   -8.26  -5.17 253.18        48.72
   3 2023-12-29  -12.96  -8.05 248.48        50.54
   4 2024-01-02  -13.02  -8.16 248.42        50.49
   5 2024-01-03  -22.99 -13.94 238.45        54.68
   6 2024-01-04  -23.51 -14.30 237.93        54.84
   7 2024-01-05  -23.95 -14.61 237.49        54.97
   8 2024-01-08  -20.99 -13.03 240.45        53.59
   9 2024-01-09  -26.48 -16.14 234.96        55.98
  10 2024-01-10  -27.50 -16.76 233.94        56.38
  11 2024-01-11  -34.22 -20.36 227.22        59.49
  12 2024-01-12  -42.55 -24.59 218.89        63.60
  13 2024-01-16  -41.53 -24.15 219.91        63.01
  14 2024-01-17  -45.89 -26.30 215.55        65.23
  15 2024-01-18  -49.56 -28.06 211.88        67.14
  16 2024-01-19  -49.25 -27.97 212.19        66.91
  17 2024-01-22  -52.64 -29.55 208.80        68.72
  18 2024-01-23  -52.30 -29.46 209.14        68.48
  19 2024-01-24  -53.61 -30.09 207.83        69.16
  20 2024-01-25  -78.81 -39.86 182.63        84.59
  21 2024-01-26  -78.19 -39.69 183.25        84.14
  22 2024-01-29  -70.51 -37.03 190.93        79.11
  23 2024-01-30  -69.85 -36.83 191.59        78.65
  24 2024-01-31  -74.15 -38.42 187.29        81.37
  25 2024-02-01  -72.58 -37.91 188.86        80.31
  26 2024-02-02  -73.53 -38.28 187.91        80.88
  27 2024-02-05  -80.38 -40.62 181.06        85.39
  28 2024-02-06  -76.34 -39.33 185.10        82.65
  29 2024-02-07  -73.86 -38.52 187.58        80.98
  30 2024-02-08  -71.88 -37.87 189.56        79.65
  31 2024-02-09  -67.87 -36.46 193.57        77.05
  32 2024-02-12  -73.31 -38.45 188.13        80.49
  33 2024-02-13  -77.42 -39.88 184.02        83.18
  34 2024-02-14  -72.73 -38.34 188.71        80.03
  35 2024-02-15  -60.99 -34.02 200.45        72.61
  36 2024-02-16  -61.49 -34.27 199.95        72.86
  37 2024-02-20  -67.68 -36.67 193.76        76.65
  38 2024-02-21  -66.67 -36.35 194.77        75.96
  39 2024-02-22  -64.03 -35.41 197.41        74.26
  40 2024-02-23  -69.47 -37.45 191.97        77.66
  41 2024-02-26  -62.04 -34.75 199.40        72.94
  42 2024-02-27  -61.71 -34.67 199.73        72.68
  43 2024-02-28  -59.40 -33.82 202.04        71.22
  44 2024-02-29  -59.56 -33.94 201.88        71.27
  45 2024-03-01  -58.80 -33.69 202.64        70.75
  46 2024-03-04  -73.30 -39.04 188.14        79.90
  47 2024-03-05  -80.70 -41.44 180.74        84.90
  48 2024-03-06  -84.90 -42.70 176.54        87.84
  49 2024-03-07  -82.79 -42.13 178.65        86.30
  50 2024-03-08  -86.10 -43.10 175.34        88.64
  51 2024-03-11  -83.67 -42.45 177.77        86.86
  52 2024-03-12  -83.90 -42.54 177.54        86.99
  53 2024-03-13  -91.96 -44.71 169.48        92.88
  54 2024-03-14  -98.94 -46.36 162.50        98.21
  55 2024-03-15  -97.87 -46.15 163.57        97.36
  56 2024-03-18  -87.64 -43.69 173.80        89.59
  57 2024-03-19  -90.12 -44.36 171.32        91.40
  58 2024-03-20  -85.78 -43.26 175.66        88.16
  59 2024-03-21  -88.62 -44.03 172.82        90.23
